TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,SUSPICIOUS
45980000,1408800,1408900,1408800,1408800,42775,0
45981000,1408700,1408900,1408700,1408800,1396,0
45982000,1408700,1408800,1408700,1408800,200,0
45983000,1408800,1408800,1408800,1408800,3100,0
45984000,1408800,1408800,1408800,1408800,1100,0
45986000,1408900,1408900,1408900,1408900,1900,0
45988000,1408800,1408800,1408800,1408800,500,0
45989000,1408800,1408900,1408700,1408800,32959,0
45991000,1408800,1408800,1408800,1408800,100,0
45992000,1408800,1408800,1408800,1408800,200,0
45993000,1408800,1408800,1408800,1408800,100,0
45994000,1408800,1408800,1408800,1408800,200,0
45995000,1408800,1408800,1408800,1408800,100,0
45996000,1408800,1408800,1408800,1408800,500,0
45997000,1408800,1408800,1408800,1408800,100,0
45998000,1408800,1408800,1408800,1408800,100,0
45999000,1408700,1408800,1408700,1408800,200,0
46000000,1408800,1408800,1408800,1408800,100,0
46001000,1408800,1408800,1408800,1408800,200,0
46002000,1408800,1408800,1408800,1408800,200,0
46003000,1408700,1408800,1408700,1408800,322,0
46004000,1408800,1408800,1408800,1408800,300,0
46005000,1408800,1408800,1408800,1408800,1900,0
46006000,1408800,1408800,1408800,1408800,2334,0
46007000,1408800,1408800,1408800,1408800,200,0
46008000,1408800,1408800,1408800,1408800,400,0
46009000,1408800,1408800,1408800,1408800,300,0
46010000,1408800,1408800,1408800,1408800,200,0
46011000,1408800,1408800,1408800,1408800,500,0
46012000,1408800,1408800,1408800,1408800,300,0
46013000,1408700,1408800,1408700,1408800,300,0
46014000,1408800,1408800,1408800,1408800,200,0
46015000,1408800,1408800,1408800,1408800,2100,0
46016000,1408800,1408800,1408800,1408800,300,0
46017000,1408800,1408800,1408700,1408800,8100,0
46018000,1408800,1408800,1408800,1408800,400,0
46019000,1408800,1408800,1408800,1408800,792,0
46020000,1408700,1408700,1408700,1408700,100,0
46021000,1408800,1408800,1408800,1408800,600,0
46022000,1408800,1408800,1408800,1408800,100,0
46023000,1408800,1408800,1408800,1408800,300,0
46024000,1408800,1408800,1408800,1408800,100,0
46025000,1408700,1408700,1408700,1408700,400,0
46027000,1408800,1408800,1408800,1408800,200,0
46029000,1408800,1408800,1408800,1408800,1500,0
46030000,1408900,1408900,1408900,1408900,500,0
46031000,1408800,1408800,1408800,1408800,100,0
46032000,1408900,1408900,1408900,1408900,300,0
46033000,1408900,1408900,1408900,1408900,410,0
46034000,1408800,1408900,1408800,1408900,2100,0
46035000,1408900,1408900,1408900,1408900,500,0
46036000,1408900,1408900,1408800,1408800,300,0
46037000,1408900,1408900,1408900,1408900,100,0
46038000,1408900,1408900,1408900,1408900,600,0
46039000,1408900,1408900,1408900,1408900,100,0
46040000,1408900,1408900,1408900,1408900,100,0
46041000,1408900,1408900,1408900,1408900,400,0
46042000,1408900,1408900,1408900,1408900,100,0
46043000,1408900,1408900,1408800,1408900,8600,0
46047000,1408900,1408900,1408900,1408900,200,0
46051000,1408900,1408900,1408800,1408800,300,0
46052000,1408800,1408800,1408800,1408800,500,0
46053000,1408800,1408800,1408800,1408800,300,0
46055000,1408900,1408900,1408900,1408900,400,0
46058000,1408800,1408900,1408800,1408900,300,0
46059000,1408900,1408900,1408800,1408800,9594,0
46060000,1408800,1408800,1408800,1408800,12542,0
46061000,1408800,1408800,1408800,1408800,1300,0
46062000,1408800,1408800,1408800,1408800,900,0
46064000,1408800,1408800,1408800,1408800,200,0
46065000,1408800,1408800,1408800,1408800,6700,0
46068000,1408800,1408900,1408800,1408900,10970,0
46069000,1408900,1408900,1408800,1408800,400,0
46070000,1408900,1408900,1408800,1408800,200,0
46071000,1408800,1408900,1408800,1408800,6044,0
46073000,1408900,1408900,1408900,1408900,1700,0
46076000,1408900,1408900,1408900,1408900,200,0
46084000,1408800,1408800,1408800,1408800,600,0
46089000,1408800,1408800,1408800,1408800,100,0
46091000,1408900,1408900,1408900,1408900,300,0
46093000,1408800,1408900,1408800,1408900,400,0
46094000,1408900,1408900,1408900,1408900,500,0
46095000,1408900,1408900,1408800,1408800,400,0
46096000,1408900,1408900,1408900,1408900,200,0
46097000,1408900,1408900,1408800,1408800,5174,0
46098000,1408800,1408800,1408800,1408800,700,0
46099000,1408900,1408900,1408900,1408900,200,0
46101000,1408900,1408900,1408900,1408900,300,0
46103000,1408900,1408900,1408900,1408900,200,0
46104000,1408900,1408900,1408800,1408800,1221,0
46105000,1408900,1409000,1408900,1409000,33375,0
46106000,1409000,1409000,1409000,1409000,867,0
46107000,1409000,1409000,1408900,1409000,1749,0
46110000,1409000,1409000,1409000,1409000,200,0
46116000,1409000,1409000,1409000,1409000,100,0
46117000,1409000,1409000,1409000,1409000,100,0
46118000,1409000,1409000,1409000,1409000,100,0
46119000,1409000,1409000,1409000,1409000,2000,0
46121000,1409000,1409000,1408900,1408900,21400,0
46123000,1409000,1409000,1409000,1409000,800,0
46125000,1409000,1409000,1409000,1409000,100,0
46126000,1409000,1409000,1409000,1409000,600,0
46127000,1409000,1409000,1409000,1409000,100,0
46128000,1409000,1409000,1409000,1409000,100,0
46129000,1409000,1409000,1409000,1409000,3100,0
46130000,1409000,1409000,1409000,1409000,5000,0
46131000,1409000,1409000,1409000,1409000,100,0
46132000,1409000,1409000,1409000,1409000,1380,0
46134000,1409100,1409100,1409100,1409100,100,0
46135000,1409100,1409100,1409100,1409100,550,0
46137000,1409100,1409200,1409100,1409200,69900,0
46138000,1409200,1409200,1409200,1409200,200,0
46139000,1409200,1409200,1409100,1409200,3050,0
46141000,1409200,1409200,1409100,1409100,1000,0
46142000,1409200,1409200,1409100,1409100,600,0
46144000,1409100,1409100,1409000,1409100,76948,0
46146000,1409000,1409000,1409000,1409000,955,0
46147000,1409000,1409100,1408900,1409000,5369,0
46149000,1409100,1409100,1409100,1409100,134,0
46150000,1409100,1409100,1409000,1409100,59093,0
46151000,1409000,1409000,1409000,1409000,700,0
46152000,1409100,1409100,1409100,1409100,800,0
46153000,1409100,1409200,1409100,1409200,1800,0
46154000,1409000,1409200,1409000,1409200,2000,0
46156000,1409200,1409200,1409100,1409100,652,0
46157000,1409200,1409200,1409200,1409200,1910,0
46158000,1409200,1409200,1409200,1409200,600,0
46159000,1409100,1409200,1409100,1409200,300,0
46160000,1409200,1409200,1409200,1409200,200,0
46161000,1409100,1409100,1409100,1409100,150,0
46162000,1409100,1409200,1409000,1409000,24249,0
46165000,1409100,1409100,1409000,1409100,11100,0
46169000,1409100,1409100,1409100,1409100,100,0
46173000,1409100,1409100,1409000,1409000,200,0
46174000,1409100,1409100,1409100,1409100,100,0
46177000,1409100,1409100,1409100,1409100,100,0
46178000,1409000,1409000,1409000,1409000,300,0
46179000,1409000,1409100,1409000,1409100,1300,0
46181000,1409100,1409100,1409100,1409100,100,0
46182000,1409100,1409100,1409100,1409100,135,0
46183000,1409000,1409000,1409000,1409000,100,0
46184000,1409000,1409100,1409000,1409100,300,0
46187000,1409100,1409100,1409000,1409000,200,0
46188000,1409100,1409100,1409100,1409100,200,0
46189000,1409000,1409100,1409000,1409000,3073,0
46190000,1409000,1409000,1409000,1409000,1668,0
46191000,1409000,1409000,1409000,1409000,200,0
46192000,1409000,1409000,1409000,1409000,300,0
46193000,1409100,1409100,1409100,1409100,200,0
46195000,1409100,1409100,1409000,1409000,300,0
46196000,1409000,1409000,1409000,1409000,100,0
46197000,1409100,1409100,1409000,1409000,1600,0
46198000,1409100,1409100,1409100,1409100,14250,0
46200000,1409100,1409100,1409000,1409100,308,0
46201000,1409000,1409000,1409000,1409000,450,0
46202000,1409100,1409100,1409100,1409100,400,0
46203000,1409100,1409100,1409000,1409100,300,0
46204000,1409000,1409000,1409000,1409000,200,0
46205000,1409100,1409100,1409100,1409100,100,0
46206000,1409100,1409100,1409100,1409100,300,0
46208000,1409000,1409000,1409000,1409000,3000,0
46209000,1409100,1409100,1409100,1409100,113,0
46214000,1409100,1409100,1409100,1409100,9000,0
46215000,1409100,1409100,1409100,1409100,3400,0
46218000,1409100,1409100,1409100,1409100,300,0
46220000,1409000,1409000,1409000,1409000,100,0
46221000,1409000,1409000,1408900,1408900,13965,0
46223000,1409000,1409000,1408900,1409000,2855,0
46224000,1409000,1409000,1408900,1408900,3100,0
46226000,1408900,1408900,1408900,1408900,2000,0
46227000,1408900,1408900,1408900,1408900,100,0
46231000,1409000,1409000,1409000,1409000,1300,0
46234000,1409000,1409000,1409000,1409000,300,0
